Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
Month-to-month,1,DSL,No,No,29.85,Electronic check,Yes,No
One year,34,DSL,Yes,No,56.95,Mailed check,No,No
Month-to-month,2,DSL,Yes,No,53.85,Mailed check,Yes,Yes
One year,45,DSL,Yes,Yes,42.3,Bank transfer (automatic),No,No
Month-to-month,2,Fiber optic,No,No,70.7,Electronic check,Yes,Yes
Month-to-month,8,Fiber optic,No,No,99.65,Electronic check,Yes,Yes
Month-to-month,22,Fiber optic,No,No,89.1,Credit card (automatic),Yes,No
Month-to-month,10,DSL,Yes,No,29.75,Mailed check,No,No
Month-to-month,28,Fiber optic,No,Yes,104.8,Electronic check,Yes,Yes
One year,62,DSL,Yes,No,56.15,Bank transfer (automatic),No,No
Month-to-month,13,DSL,Yes,No,49.95,Mailed check,Yes,No
Two year,16,No,No internet service,No internet service,18.95,Credit card (automatic),No,No
One year,58,Fiber optic,No,No,100.35,Credit card (automatic),No,No
Month-to-month,49,Fiber optic,No,No,103.7,Bank transfer (automatic),Yes,Yes
Month-to-month,25,Fiber optic,Yes,Yes,105.5,Electronic check,Yes,No
Two year,69,Fiber optic,Yes,Yes,113.25,Credit card (automatic),No,No
One year,52,No,No internet service,No internet service,20.65,Mailed check,No,No
Two year,71,Fiber optic,Yes,No,106.7,Bank transfer (automatic),No,No
Month-to-month,10,DSL,No,Yes,55.2,Credit card (automatic),No,Yes
Month-to-month,21,Fiber optic,No,No,90.05,Electronic check,Yes,No
Month-to-month,1,DSL,No,No,39.65,Electronic check,Yes,Yes
One year,12,No,No internet service,No internet service,19.8,Bank transfer (automatic),No,No
Month-to-month,1,No,No internet service,No internet service,20.15,Mailed check,No,Yes
Two year,58,DSL,No,Yes,59.9,Credit card (automatic),Yes,No
Month-to-month,49,DSL,Yes,Yes,59.6,Credit card (automatic),No,No
Month-to-month,30,DSL,Yes,No,55.3,Bank transfer (automatic),Yes,No
